ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Healthy
31,11,2,1,13.0,50.0,0,2,0,0.0,0,0,0,10.0,2.0,0,2.0,61.0,1
32,7,0,0,5.0,63.0,0,0,2,4.0,0,0,0,10.0,2.0,2,0.0,61.0,1
33,12,0,0,13.0,43.0,1,0,2,4.0,0,1,0,11.0,1.0,3,3.0,33.0,0
34,0,1,1,10.0,69.0,1,3,0,1.0,0,0,0,10.0,3.0,3,4.0,52.0,1
35,0,1,1,8.0,56.0,1,1,2,3.0,0,0,0,12.0,2.0,1,2.0,82.0,1
36,3,1,1,2.0,58.0,0,0,3,2.0,0,1,0,9.0,1.0,0,2.0,70.0,1
37,13,1,0,4.0,69.0,1,0,0,2.0,1,0,1,11.0,0.0,0,1.0,40.0,0
38,12,0,0,13.0,27.0,0,3,1,0.0,1,1,0,13.0,1.0,0,2.0,99.0,1
39,8,0,0,9.0,65.0,1,2,3,3.0,1,1,0,9.0,2.0,0,2.0,48.0,0
40,5,2,1,10.0,51.0,0,1,3,3.0,1,0,0,12.0,2.0,3,2.0,93.0,1
41,0,0,0,12.0,59.0,0,0,1,6.0,0,0,1,10.0,2.0,1,1.0,68.0,1
42,11,2,0,9.0,31.0,0,1,2,4.0,0,0,0,13.0,2.0,2,0.0,55.0,1
43,3,1,1,12.0,33.0,1,2,3,3.0,1,1,0,12.0,3.0,3,0.0,64.0,0
44,9,0,1,2.0,69.0,1,0,0,1.0,0,0,0,11.0,0.0,2,1.0,67.0,1
45,14,2,0,2.0,45.0,0,1,0,3.0,0,0,0,9.0,1.0,3,0.0,74.0,1
46,8,0,1,4.0,64.0,1,0,3,5.0,0,0,0,12.0,2.0,2,2.0,69.0,1
47,4,2,0,13.0,10.0,1,1,3,0.0,1,0,0,13.0,1.0,3,0.0,54.0,0
48,9,0,0,12.0,41.0,1,2,0,3.0,1,0,0,10.0,1.0,3,0.0,56.0,0
49,12,0,1,7.0,48.0,1,0,3,4.0,0,0,0,12.0,0.0,3,0.0,49.0,0
50,11,2,0,9.0,61.0,1,0,2,1.0,0,0,0,10.0,2.0,3,0.0,47.0,1
51,13,1,0,8.0,49.0,0,0,3,3.0,0,0,0,13.0,2.0,1,1.0,80.0,1
52,12,0,0,11.0,59.0,1,2,0,1.0,1,1,0,10.0,1.0,0,0.0,40.0,0
53,7,0,0,5.0,46.0,1,2,3,3.0,0,1,0,10.0,3.0,0,3.0,75.0,0
54,11,2,0,7.0,34.0,1,0,2,1.0,1,1,0,12.0,1.0,3,1.0,73.0,1
55,2,1,0,12.0,45.0,1,0,3,4.0,0,1,1,12.0,3.0,0,1.0,74.0,0
57,10,0,0,8.0,60.0,1,0,3,3.0,0,1,0,11.0,2.0,3,1.0,43.0,1
58,7,0,0,2.0,77.0,1,2,0,2.0,0,0,0,11.0,1.0,3,4.0,45.0,1
59,10,0,0,6.0,62.0,1,1,0,2.0,0,0,0,10.0,1.0,2,2.0,64.0,1
60,11,2,1,7.0,66.0,0,0,3,2.0,1,0,0,10.0,2.0,3,3.0,50.0,1
61,6,0,1,8.0,42.0,0,1,2,3.0,1,0,0,12.0,2.0,2,3.0,64.0,1
62,3,1,1,12.0,62.0,0,2,3,0.0,1,0,1,9.0,1.0,3,1.0,68.0,0
63,8,0,1,1.0,75.0,1,0,3,2.0,0,1,0,12.0,0.0,3,0.0,44.0,0
64,10,0,0,4.0,40.0,0,3,0,3.0,0,0,0,13.0,0.0,0,2.0,57.0,1
65,0,0,1,8.0,63.0,1,0,0,3.0,1,0,0,10.0,3.0,3,0.0,54.0,0
66,1,2,0,13.0,41.0,1,0,3,4.0,0,0,0,12.0,1.0,0,0.0,69.0,0
67,14,2,1,11.0,63.0,1,1,3,3.0,0,0,0,12.0,1.0,3,0.0,55.0,1
68,2,1,1,5.0,38.0,0,0,0,2.0,1,0,0,12.0,3.0,0,3.0,35.0,1
69,10,0,1,10.0,52.0,1,1,1,2.0,0,1,1,10.0,2.0,1,3.0,50.0,0
70,8,0,0,5.0,71.0,1,2,1,2.0,1,0,0,10.0,2.0,1,1.0,64.0,1
71,1,2,1,9.0,30.0,0,2,0,2.0,1,1,0,11.0,0.0,0,4.0,59.0,0
72,8,0,1,1.0,35.0,1,0,0,6.0,1,1,0,14.0,1.0,0,1.0,64.0,0
73,2,1,1,10.0,41.0,1,3,2,5.0,1,1,0,11.0,3.0,0,2.0,78.0,1
74,6,0,0,9.0,51.0,1,2,2,2.0,0,1,0,9.0,2.0,0,1.0,75.0,0
75,5,2,0,13.0,62.0,0,1,3,4.0,1,1,0,12.0,2.0,3,0.0,68.0,0
76,5,2,0,10.0,55.0,1,2,1,1.0,1,1,0,12.0,2.0,3,4.0,53.0,1
77,8,0,0,9.0,50.0,0,0,1,2.0,0,0,0,11.0,1.0,3,1.0,79.0,1
78,0,1,0,13.0,84.0,1,1,1,2.0,0,1,0,13.0,1.0,3,0.0,78.0,0
79,14,0,0,13.0,14.0,0,0,2,2.0,1,1,0,12.0,1.0,2,3.0,64.0,0
80,1,2,0,6.0,56.0,1,2,3,3.0,0,0,0,12.0,2.0,3,0.0,86.0,1
81,14,2,1,2.0,29.0,1,0,0,1.0,0,1,0,10.0,3.0,3,3.0,66.0,1
82,3,1,1,11.0,34.0,1,2,1,2.0,0,0,1,9.0,3.0,1,3.0,66.0,1
83,2,1,1,9.0,57.0,1,3,1,3.0,0,1,0,12.0,1.0,2,1.0,53.0,1
84,12,0,1,11.0,71.0,0,3,2,5.0,1,0,0,14.0,1.0,2,1.0,75.0,1
85,14,2,1,12.0,73.0,0,3,1,2.0,1,0,0,10.0,2.0,1,0.0,84.0,1
86,9,0,0,7.0,57.0,1,1,2,3.0,1,1,1,10.0,3.0,3,1.0,42.0,0
88,11,2,1,1.0,30.0,1,0,3,3.0,1,0,0,11.0,2.0,2,2.0,78.0,1
89,5,2,1,9.0,22.0,0,0,1,3.0,1,1,0,9.0,1.0,1,1.0,98.0,0
91,0,1,0,12.0,43.0,1,3,2,2.0,0,1,0,10.0,2.0,0,1.0,92.0,1
92,11,2,1,1.0,48.0,1,1,3,5.0,1,0,0,12.0,0.0,0,0.0,66.0,0
94,8,0,1,2.0,43.0,1,1,3,2.0,1,1,0,14.0,0.0,2,1.0,58.0,1
95,0,1,1,3.0,76.0,0,0,3,3.0,1,0,0,8.0,3.0,0,2.0,76.0,1
96,0,1,0,7.0,53.0,0,2,2,5.0,1,0,0,14.0,0.0,0,3.0,58.0,1
97,12,0,0,3.0,32.0,0,0,3,4.0,0,0,0,10.0,1.0,3,0.0,77.0,1
98,7,0,0,10.0,37.0,0,3,3,3.0,0,0,0,11.0,2.0,2,2.0,79.0,1
99,0,1,0,4.0,56.0,0,0,2,3.0,1,0,0,9.0,0.0,3,1.0,36.0,1
100,4,2,0,9.0,76.0,0,1,2,0.0,1,1,0,13.0,3.0,1,1.0,31.0,1
101,13,1,1,3.0,33.0,1,0,2,2.0,1,1,0,10.0,2.0,1,1.0,65.0,1
102,11,2,1,5.0,33.0,1,1,3,4.0,0,1,0,10.0,1.0,3,1.0,37.0,1
103,2,1,1,5.0,38.0,1,2,1,4.0,0,1,0,12.0,2.0,3,2.0,50.0,1
104,14,2,1,12.0,40.0,1,1,2,2.0,1,0,0,11.0,4.0,0,1.0,78.0,1
105,6,0,1,10.0,54.0,1,3,2,3.0,1,1,0,11.0,3.0,3,1.0,39.0,1
106,8,0,0,2.0,65.0,0,1,2,1.0,0,1,1,9.0,0.0,3,0.0,50.0,0
107,3,1,1,7.0,50.0,1,0,2,5.0,0,0,0,11.0,2.0,1,0.0,53.0,1
108,10,0,1,2.0,57.0,0,0,1,0.0,0,1,0,10.0,1.0,1,1.0,70.0,1
109,3,1,0,8.0,38.0,0,2,0,2.0,1,0,0,9.0,1.0,3,2.0,77.0,1
110,13,1,1,7.0,39.0,1,3,2,3.0,0,1,0,12.0,1.0,3,2.0,60.0,1
111,4,2,0,8.0,45.0,0,2,3,2.0,0,0,0,12.0,2.0,3,0.0,94.0,1
112,13,1,1,1.0,61.0,0,0,3,1.0,0,0,0,12.0,2.0,2,1.0,69.0,1
113,0,1,1,5.0,43.0,0,0,2,5.0,0,1,0,12.0,0.0,0,4.0,82.0,1
115,6,0,0,9.0,50.0,1,0,0,2.0,1,0,0,13.0,0.0,3,1.0,58.0,1
116,3,1,0,9.0,25.0,1,3,1,3.0,0,1,0,13.0,1.0,0,2.0,100.0,1
117,9,0,0,11.0,60.0,1,0,1,1.0,0,0,0,12.0,1.0,3,2.0,75.0,1
118,11,2,1,8.0,66.0,0,0,1,1.0,0,1,0,13.0,2.0,3,0.0,72.0,1
119,6,0,1,12.0,34.0,0,1,1,3.0,0,1,0,13.0,2.0,3,0.0,51.0,0
120,7,0,1,7.0,56.0,1,1,0,3.0,1,0,0,9.0,1.0,3,0.0,76.0,0
121,1,2,1,6.0,63.0,1,1,1,2.0,1,0,1,9.0,2.0,1,1.0,100.0,1
122,6,0,1,7.0,39.0,0,1,1,2.0,0,0,0,10.0,2.0,2,4.0,72.0,1
123,10,0,0,13.0,10.0,0,0,1,2.0,1,1,0,10.0,2.0,1,1.0,88.0,1
124,14,2,0,1.0,41.0,1,3,2,3.0,0,1,0,11.0,0.0,1,1.0,66.0,1
125,1,2,1,7.0,29.0,0,2,3,2.0,0,0,0,14.0,1.0,3,0.0,75.0,1
126,14,2,0,10.0,51.0,1,0,2,4.0,1,1,0,13.0,3.0,1,3.0,66.0,1
127,8,0,1,9.0,60.0,1,2,2,3.0,0,1,1,10.0,1.0,1,0.0,44.0,0
128,13,1,1,8.0,58.0,1,0,1,2.0,0,1,0,11.0,1.0,3,2.0,54.0,1
129,2,1,1,4.0,63.0,0,2,0,4.0,0,1,0,12.0,3.0,3,2.0,53.0,1
131,10,0,1,10.0,79.0,1,0,0,3.0,0,1,0,9.0,1.0,3,4.0,75.0,0
132,13,1,1,4.0,36.0,0,1,0,3.0,0,1,0,12.0,0.0,3,1.0,56.0,1
133,10,0,1,4.0,20.0,1,0,0,3.0,0,1,0,9.0,2.0,2,1.0,67.0,1
134,8,0,1,7.0,26.0,1,0,2,3.0,0,1,0,8.0,2.0,1,0.0,75.0,0
135,14,2,0,9.0,50.0,0,2,2,2.0,1,0,0,11.0,2.0,0,3.0,59.0,1
136,3,0,0,6.0,50.0,0,2,2,1.0,1,0,0,9.0,1.0,3,0.0,55.0,1
137,13,1,1,4.0,27.0,1,2,1,1.0,1,0,0,10.0,2.0,3,0.0,42.0,1
138,4,2,1,4.0,55.0,1,0,3,0.0,0,0,0,12.0,1.0,2,0.0,67.0,1
139,11,2,0,3.0,51.0,0,3,3,2.0,1,0,0,12.0,1.0,2,1.0,60.0,1
140,10,0,1,4.0,43.0,1,0,0,2.0,0,0,0,13.0,1.0,3,1.0,63.0,1
141,7,0,0,10.0,50.0,1,0,2,4.0,0,0,0,9.0,3.0,1,0.0,58.0,1
142,1,2,1,4.0,62.0,0,0,0,3.0,0,0,0,11.0,2.0,2,1.0,68.0,1
143,14,2,1,7.0,62.0,1,0,3,1.0,0,1,0,12.0,1.0,3,1.0,46.0,0
144,4,2,1,11.0,37.0,1,0,2,3.0,0,0,0,10.0,2.0,0,0.0,74.0,1
145,8,0,0,10.0,57.0,1,1,1,6.0,1,1,0,10.0,1.0,2,0.0,51.0,0
146,13,1,1,8.0,41.0,0,2,2,2.0,0,1,0,12.0,2.0,0,0.0,76.0,1
147,5,2,1,2.0,33.0,1,0,3,0.0,1,0,0,13.0,0.0,3,1.0,57.0,1
148,10,0,0,4.0,71.0,1,0,2,6.0,1,1,0,10.0,0.0,1,1.0,48.0,1
149,6,0,0,3.0,47.0,0,1,3,3.0,1,0,0,14.0,0.0,2,2.0,85.0,1
150,14,2,1,3.0,44.0,0,0,1,1.0,1,1,0,10.0,0.0,3,3.0,51.0,1
151,12,0,1,10.0,61.0,0,0,3,0.0,1,1,0,10.0,0.0,0,2.0,91.0,1
152,4,2,1,11.0,34.0,1,0,0,1.0,0,1,0,10.0,1.0,0,0.0,53.0,0
153,9,0,1,3.0,78.0,0,1,3,5.0,0,0,0,9.0,2.0,1,2.0,68.0,1
154,3,0,0,9.0,48.0,1,0,3,4.0,0,1,0,10.0,3.0,3,1.0,84.0,0
155,14,2,0,4.0,45.0,0,0,3,7.0,0,0,1,8.0,0.0,1,2.0,53.0,1
156,6,0,1,9.0,12.0,1,0,1,1.0,1,0,0,11.0,2.0,3,3.0,87.0,1
157,13,1,1,4.0,62.0,0,3,0,3.0,0,0,0,13.0,2.0,1,2.0,66.0,1
158,4,2,1,12.0,74.0,0,2,2,5.0,1,1,0,12.0,2.0,0,0.0,78.0,0
159,10,0,0,7.0,40.0,1,0,0,1.0,0,0,0,10.0,1.0,3,4.0,49.0,1
160,1,2,1,11.0,62.0,1,1,2,1.0,1,0,0,11.0,3.0,1,3.0,83.0,1
161,0,1,0,7.0,19.0,1,1,3,5.0,1,1,0,14.0,2.0,3,1.0,43.0,0
162,14,2,1,8.0,50.0,1,0,2,2.0,1,1,0,11.0,2.0,1,3.0,64.0,1
163,13,1,0,7.0,84.0,0,0,2,0.0,1,0,0,12.0,1.0,0,3.0,60.0,1
164,8,0,0,10.0,59.0,1,1,2,1.0,0,0,0,12.0,1.0,3,1.0,45.0,1
165,5,2,0,4.0,23.0,1,3,2,3.0,1,1,0,13.0,3.0,1,2.0,55.0,1
166,13,1,1,2.0,66.0,1,0,0,2.0,1,0,0,10.0,3.0,3,0.0,69.0,1
167,3,1,0,9.0,65.0,0,2,3,5.0,1,0,0,14.0,0.0,1,0.0,58.0,0
168,11,2,1,5.0,33.0,1,3,3,2.0,0,0,0,12.0,2.0,3,2.0,64.0,1
169,10,0,0,13.0,58.0,1,2,1,2.0,0,0,0,12.0,2.0,1,0.0,79.0,1
170,7,0,0,12.0,47.0,1,1,3,3.0,1,0,0,10.0,0.0,3,2.0,48.0,1
171,10,0,0,2.0,50.0,1,2,2,2.0,0,0,0,10.0,3.0,0,3.0,72.0,1
172,2,1,1,7.0,63.0,1,0,1,0.0,0,0,0,9.0,3.0,0,2.0,84.0,1
173,6,0,1,2.0,51.0,1,0,0,2.0,0,1,0,10.0,1.0,1,0.0,70.0,1
174,1,2,0,12.0,47.0,1,0,0,2.0,1,1,0,12.0,0.0,2,0.0,63.0,0
175,2,1,0,6.0,67.0,1,0,0,2.0,1,0,1,11.0,1.0,3,4.0,66.0,1
176,10,0,1,7.0,61.0,1,3,2,1.0,0,0,0,11.0,1.0,2,2.0,74.0,1
177,6,0,0,2.0,55.0,0,0,3,2.0,0,1,0,11.0,3.0,3,3.0,45.0,1
178,3,1,0,1.0,38.0,1,0,1,1.0,1,1,1,13.0,2.0,3,1.0,56.0,0
179,0,1,1,1.0,43.0,1,3,3,3.0,0,1,0,11.0,1.0,1,2.0,49.0,1
180,7,0,0,6.0,69.0,1,1,2,4.0,1,0,0,11.0,2.0,3,2.0,74.0,1
181,4,2,0,2.0,47.0,1,0,1,3.0,0,1,0,13.0,0.0,2,2.0,57.0,1
182,0,1,1,7.0,10.0,1,0,1,1.0,1,1,0,12.0,4.0,2,1.0,68.0,1
183,3,1,1,7.0,80.0,0,0,3,2.0,0,1,0,10.0,1.0,0,4.0,78.0,1
184,12,0,0,4.0,58.0,1,0,0,0.0,1,0,1,10.0,2.0,3,0.0,49.0,0
185,6,0,0,1.0,52.0,1,3,0,0.0,1,1,0,12.0,3.0,0,1.0,33.0,0
186,13,1,0,7.0,61.0,0,3,3,3.0,1,0,0,11.0,0.0,2,0.0,61.0,1
187,0,1,1,2.0,44.0,1,2,1,4.0,1,1,0,12.0,1.0,3,1.0,75.0,1
188,12,0,0,5.0,62.0,1,3,0,3.0,1,0,0,13.0,3.0,1,2.0,69.0,1
189,6,0,1,11.0,73.0,1,3,1,3.0,0,0,0,11.0,2.0,0,4.0,70.0,1
190,5,2,1,4.0,51.0,1,1,2,4.0,1,1,1,11.0,3.0,3,1.0,58.0,0
191,13,1,0,6.0,25.0,1,1,2,4.0,0,0,0,12.0,2.0,3,2.0,80.0,1
193,12,0,0,3.0,64.0,1,0,0,3.0,1,1,0,11.0,1.0,3,1.0,75.0,1
194,4,2,0,9.0,55.0,1,0,1,2.0,0,1,0,11.0,2.0,3,0.0,87.0,0
195,1,2,1,8.0,58.0,0,0,3,3.0,0,1,0,11.0,0.0,3,2.0,75.0,1
196,13,1,1,13.0,38.0,1,3,1,1.0,1,0,0,14.0,2.0,3,4.0,73.0,1
197,4,2,1,8.0,52.0,1,1,1,3.0,1,1,0,9.0,3.0,3,2.0,45.0,1
198,6,0,0,8.0,80.0,1,1,3,1.0,0,0,0,10.0,2.0,3,2.0,55.0,1
199,2,1,1,10.0,59.0,1,1,0,4.0,1,0,0,11.0,2.0,0,0.0,63.0,0
200,0,1,0,11.0,61.0,1,3,1,2.0,0,0,0,10.0,3.0,1,2.0,45.0,1
201,9,0,0,4.0,33.0,1,1,1,0.0,1,0,0,11.0,2.0,2,2.0,83.0,1
202,3,1,0,12.0,45.0,0,2,2,2.0,0,0,0,12.0,2.0,3,3.0,75.0,1
203,12,0,1,7.0,52.0,0,0,2,1.0,1,1,0,12.0,2.0,1,1.0,71.0,1
204,13,1,0,5.0,42.0,1,0,0,1.0,1,1,0,11.0,2.0,1,2.0,83.0,1
205,8,0,1,11.0,54.0,1,2,0,3.0,1,0,0,10.0,2.0,3,1.0,47.0,0
206,2,1,0,7.0,50.0,1,2,3,2.0,1,0,0,10.0,2.0,0,1.0,46.0,1
207,7,0,0,5.0,45.0,1,0,3,3.0,0,0,0,10.0,1.0,2,3.0,64.0,1
208,1,2,1,3.0,47.0,1,2,1,1.0,0,0,0,9.0,1.0,0,3.0,64.0,1
209,4,2,0,8.0,35.0,1,2,3,2.0,0,1,0,11.0,2.0,0,0.0,76.0,0
210,9,0,1,9.0,50.0,0,2,2,5.0,1,0,0,13.0,2.0,3,2.0,64.0,1
211,7,0,1,8.0,66.0,0,3,3,4.0,0,1,0,9.0,3.0,0,1.0,91.0,1
212,6,0,1,9.0,52.0,1,2,2,2.0,0,0,0,11.0,1.0,2,0.0,77.0,0
213,2,1,0,1.0,65.0,1,2,2,2.0,0,0,0,10.0,3.0,3,0.0,64.0,1
214,10,0,0,13.0,37.0,1,0,3,4.0,1,1,0,11.0,2.0,3,0.0,80.0,0
215,0,1,1,13.0,42.0,1,1,2,1.0,1,0,1,11.0,1.0,3,4.0,64.0,0
216,11,2,0,6.0,60.0,1,2,2,3.0,0,0,0,11.0,2.0,3,1.0,71.0,1
217,3,1,0,13.0,61.0,1,1,3,5.0,1,1,0,12.0,3.0,0,1.0,75.0,0
218,3,0,1,8.0,49.0,1,2,3,5.0,0,1,0,11.0,1.0,1,1.0,50.0,1
219,0,1,1,3.0,61.0,1,1,2,3.0,0,1,0,11.0,3.0,1,1.0,60.0,0
220,10,0,0,6.0,46.0,0,2,3,2.0,0,1,0,10.0,1.0,3,0.0,70.0,0
221,10,0,1,10.0,18.0,1,3,1,3.0,1,0,0,9.0,1.0,2,2.0,70.0,1
222,7,0,0,6.0,41.0,1,3,1,2.0,0,0,0,10.0,0.0,2,1.0,62.0,1
223,5,2,1,7.0,58.0,1,0,1,2.0,1,1,0,10.0,1.0,3,3.0,64.0,1
224,11,2,1,1.0,52.0,1,0,0,0.0,1,1,0,10.0,3.0,2,3.0,68.0,0
225,5,0,0,3.0,85.0,1,2,1,1.0,0,1,0,10.0,2.0,3,1.0,67.0,0
226,13,1,1,1.0,52.0,1,0,0,4.0,1,1,0,10.0,2.0,0,3.0,43.0,1
227,12,0,1,9.0,46.0,1,1,1,2.0,0,0,0,12.0,1.0,0,0.0,55.0,1
228,2,1,1,2.0,35.0,1,0,0,4.0,1,1,0,10.0,1.0,3,0.0,100.0,0
229,8,0,0,1.0,85.0,0,0,3,1.0,0,0,0,12.0,2.0,3,2.0,77.0,1
230,14,2,0,1.0,36.0,1,0,1,1.0,0,1,0,10.0,2.0,0,3.0,100.0,1
231,0,1,1,3.0,59.0,0,2,3,3.0,1,1,0,10.0,2.0,1,1.0,90.0,1
232,6,0,1,11.0,44.0,1,0,2,1.0,0,0,0,11.0,0.0,0,1.0,61.0,1
233,3,1,1,13.0,55.0,1,3,3,0.0,0,1,0,9.0,0.0,0,0.0,76.0,0
234,3,1,0,7.0,59.0,0,0,1,1.0,1,1,0,10.0,1.0,2,1.0,50.0,1
235,9,0,1,12.0,42.0,1,2,2,2.0,0,1,0,10.0,1.0,3,1.0,75.0,1
236,5,2,0,4.0,46.0,1,0,2,4.0,1,0,0,12.0,3.0,0,1.0,62.0,1
238,7,0,0,3.0,59.0,0,1,1,2.0,0,1,0,10.0,1.0,3,0.0,86.0,1
239,5,2,0,5.0,59.0,1,3,1,7.0,0,1,0,13.0,2.0,2,1.0,64.0,1
240,4,2,0,12.0,67.0,1,0,1,3.0,1,0,0,11.0,0.0,3,1.0,66.0,1
241,11,2,0,13.0,70.0,1,1,0,2.0,0,1,0,10.0,2.0,2,1.0,80.0,0
242,6,0,1,7.0,40.0,1,0,0,1.0,0,1,0,13.0,1.0,1,0.0,87.0,0
243,12,0,1,1.0,53.0,1,2,3,5.0,1,0,0,8.0,1.0,1,0.0,86.0,0
244,0,0,1,6.0,55.0,1,0,0,1.0,0,0,0,12.0,3.0,3,0.0,58.0,1
245,3,1,0,10.0,46.0,0,0,0,6.0,1,0,0,11.0,1.0,0,0.0,77.0,0
246,10,0,1,5.0,55.0,0,0,0,0.0,1,0,0,11.0,2.0,0,2.0,44.0,1
247,9,0,1,2.0,55.0,0,0,2,0.0,0,0,0,13.0,0.0,1,1.0,65.0,1
248,3,1,1,10.0,67.0,1,3,2,1.0,1,1,0,11.0,3.0,3,1.0,53.0,1
249,11,2,1,1.0,45.0,1,2,0,3.0,1,1,0,11.0,4.0,0,2.0,82.0,0
250,5,2,0,8.0,64.0,1,0,3,1.0,1,0,0,11.0,1.0,1,1.0,57.0,1
252,11,2,0,3.0,58.0,0,1,2,3.0,0,1,0,13.0,2.0,1,3.0,73.0,1
253,10,0,1,12.0,56.0,0,0,2,1.0,1,1,0,14.0,2.0,3,4.0,62.0,1
254,1,2,0,13.0,42.0,0,1,3,5.0,1,0,0,12.0,2.0,0,2.0,59.0,1
255,1,2,1,1.0,54.0,1,3,3,2.0,0,1,0,10.0,1.0,2,2.0,59.0,1
256,4,0,1,11.0,59.0,1,0,2,6.0,0,1,0,13.0,2.0,3,0.0,53.0,0
257,5,2,0,10.0,50.0,0,2,0,5.0,0,1,0,10.0,1.0,3,1.0,44.0,0
258,5,2,1,13.0,23.0,1,0,1,2.0,1,0,0,11.0,2.0,2,2.0,62.0,1
259,14,2,0,8.0,33.0,0,3,3,4.0,0,1,0,13.0,1.0,1,2.0,30.0,1
260,9,0,0,4.0,48.0,1,0,2,1.0,1,1,0,12.0,2.0,0,1.0,49.0,1
261,5,2,0,13.0,71.0,0,0,2,3.0,0,1,0,11.0,2.0,3,1.0,74.0,1
262,11,2,0,1.0,32.0,1,2,0,3.0,1,1,0,11.0,1.0,3,2.0,79.0,0
263,7,0,0,6.0,63.0,0,1,1,3.0,1,0,0,10.0,2.0,1,1.0,58.0,1
264,13,0,1,1.0,36.0,1,3,2,1.0,0,0,0,13.0,1.0,3,2.0,64.0,1
265,1,2,0,6.0,37.0,1,3,0,4.0,1,1,0,13.0,3.0,3,0.0,64.0,0
267,13,1,1,1.0,54.0,1,1,0,2.0,0,0,0,12.0,3.0,3,1.0,72.0,1
268,7,0,1,13.0,55.0,1,0,1,2.0,0,1,0,14.0,2.0,3,1.0,71.0,1
269,3,1,0,7.0,56.0,0,0,1,4.0,0,1,0,10.0,1.0,0,2.0,55.0,1
270,11,2,0,9.0,47.0,1,0,1,3.0,0,0,0,12.0,2.0,2,0.0,61.0,1
271,1,2,1,3.0,76.0,1,1,3,2.0,0,0,0,12.0,0.0,1,0.0,40.0,1
272,1,2,1,13.0,44.0,1,0,1,2.0,0,0,1,11.0,0.0,3,2.0,72.0,0
273,4,2,1,4.0,65.0,1,0,1,4.0,1,1,0,11.0,1.0,1,3.0,39.0,1
274,9,0,1,6.0,36.0,0,0,1,1.0,0,1,0,10.0,0.0,0,2.0,77.0,1
275,2,1,1,5.0,59.0,1,2,1,4.0,1,1,0,13.0,1.0,3,1.0,64.0,1
276,1,2,1,10.0,50.0,1,1,3,5.0,0,1,0,10.0,1.0,0,1.0,64.0,0
277,14,2,0,1.0,25.0,0,1,2,1.0,0,1,0,10.0,2.0,0,4.0,70.0,1
